"name_sci","name_e","name_c","lat","lon","survey_dat","province","county","location","national_l","IUCN_redli","endemic_c","data_sourc","data_owner"
"Syrmaticus ellioti","Elliot's Pheasant 　","白颈长尾雉",26.68673,110.13452,200600,"湖南","","绥宁",1,5,1,"雷富民，卢汰春 中国鸟类特有种 科学出版社","Lei, Fumin"
"Syrmaticus ellioti","Elliot's Pheasant 　","白颈长尾雉",26.43806,110.37397,200600,"湖南","","武冈",1,5,1,"雷富民，卢汰春 中国鸟类特有种 科学出版社","Lei, Fumin"
"Alectoris chukar","Chukor Partridge","石鸡",46.2,82.98333,NA,"","","新疆裕民县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",36.5,81.58333,198800,"","","新疆于田县普鲁",0,6,0,"马鸣,1995(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.95,76.15,NA,"","","新疆英吉沙县",0,6,0,"钱燕文,张洁,1965","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",43.91667,81.25,NA,"","","新疆伊宁市",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",43.08333,82.575,198110,"","","新疆伊犁谷地",0,6,0,"侯兰新,刘坪,1999","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.88333,77.36667,NA,"","","新疆叶城县",0,6,0,"钱燕文,张洁,1965","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",41.18333,79.21667,NA,"","","新疆乌什县",0,6,0,"钱燕文,张洁,1965","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.68333,75.18333,NA,"","","新疆乌恰县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",43.5,86.83333,198800,"","","新疆乌鲁木齐市庙尔沟阿什利村",0,6,0,"马鸣,1995(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",43.75,87.6,NA,"","","新疆乌鲁木齐市",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",41.50833,80.83333,197805,"","","新疆温宿县土木尔峰保护区",0,6,0,"马鸣,1995(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",41.58333,80.16667,198303,"","","新疆温宿县郊区",0,6,0,"马鸣,1995(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",44.96667,81.1,NA,"","","新疆温泉县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40.86667,80.11667,197800,"","","新疆天山托木尔峰地区",0,6,0,"蔡其侃,曹俊和,1985","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",46.5,84,198009,"","","新疆塔城地区多尔布拉克",0,6,0,"马鸣,1995(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.43333,77.21667,NA,"","","新疆莎车县",0,6,0,"钱燕文,张洁,1965","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.01667,88.18333,198700,"","","新疆若羌县",0,6,0,"马鸣,1995(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",46.16667,90.66667,198009,"","","新疆青河县布尔根",0,6,0,"马鸣,1995(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",46.83333,90.33333,198009,"","","新疆青海县南10公里",0,6,0,"马鸣,1995(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.5,85.5,199400,"","","新疆且末县吐拉农区",0,6,0,"马鸣,1995(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.66667,78.3,NA,"","","新疆皮山县",0,6,0,"钱燕文,张洁,1965","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",43.8,90.35,NA,"","","新疆木垒县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.4,75.9,NA,"","","新疆喀什市",0,6,0,"钱燕文,张洁,1965","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",44,86.83333,197902,"","","新疆呼图壁附近山区",0,6,0,"马鸣,1995(pl.)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",43,86.33333,199200,"","","新疆和静县曲步台",0,6,0,"马鸣,1995(pl.)","Ding, Changqing"
